Year,Company,Revenue,Net_Income,EPS,Debt_Equity_Ratio,ROE,ROA,EBITDA,Net_Profit_Margin,Operating_Cash_Flow,Market_Cap_B_USD
2020,INTC,77867,20899,4.94,0.4492,25.7891,13.6514,35917,26.8394,35864,104.16
2019,INTC,71965,21048,4.71,0.3742,27.1573,15.4171,32861,29.2476,33145,260.35
2018,INTC,70848,21053,4.48,0.3535,28.2352,16.4524,32401,29.7157,29432,214.19
2017,INTC,62761,9601,1.99,0.3885,13.9107,7.7899,26179,15.2977,22110,216.03
2016,INTC,59387,10316,2.12,0.3818,15.577,9.1029,20923,17.3708,21808,171.88
2015,INTC,55355,11420,2.33,0.3711,18.6953,11.2558,22713,20.6305,19018,162.57
2014,INTC,55870,11704,2.31,0.2444,20.9505,12.7356,23896,20.9486,20418,175.46
2013,INTC,52708,9620,1.89,0.2308,16.5133,10.416,20323,18.2515,20776,129.02
2012,INTC,53341,11005,2.13,0.2626,21.4929,13.0467,22160,20.6314,18884,102.61
2011,INTC,53999,12942,2.39,0.1597,28.1893,18.1977,23541,23.9671,20963,123.48
2010,INTC,43623,11464,2.01,0.0428,23.1924,18.1433,20226,26.2797,16692,117.31
2009,INTC,35127,4369,0.77,0.0533,10.4762,8.2286,10763,12.4377,11170,112.65
2022,AMZN,424525.60000000044,-2722,-0.27,0.4598,-1.8638,-0.5883,54169,-0.5296,46752,856.94
2021,AMZN,424525.60000000044,33364,3.24,0.3526,24.134,7.9334,59312,7.1014,46327,1691
2020,AMZN,386064,21331,2.09,0.3406,22.8374,6.6411,48079,5.5252,66064,1634.16
2019,AMZN,280522,11588,1.1505,0.3773,18.6723,5.1446,36330,4.1309,38514,916.15
2018,AMZN,232887,10073,1.007,0.5395,23.1303,6.1931,27762,4.3253,30723,734.42
2017,AMZN,177866,3033,0.3075,0.893,10.9459,2.3098,15584,1.7052,18365,563.54
2016,AMZN,135987,2371,0.245,0.399,12.2945,2.8429,12302,1.7435,17203,356.31
2015,AMZN,107006,596,0.0625,0.6147,4.4531,0.9205,8514,0.557,12039,316.83
2014,AMZN,88988,-241,-0.026,0.7695,-2.2437,-0.4422,4924,-0.2708,6842,143.7
2013,AMZN,74452,274,0.0295,0.3274,2.8114,0.6823,3998,0.368,5475,182.54
2012,AMZN,61093,-39,-0.0045,0.3765,-0.4761,-0.1198,2835,-0.0638,4180,113.63
2011,AMZN,48077,631,0.0685,0.0329,8.1346,2.4962,1945,1.3125,3903,78.72
2010,AMZN,34204,1152,0.1265,0.2274,16.7832,6.1286,1974,3.368,3495,80.79
2009,AMZN,24509,902,0.102,0.2007,17.1581,6.5301,1507,3.6803,3293,58.24
